Date,FHFAHousePriceIndex
1991-01-01,100.0
1991-04-01,100.0
1991-07-01,100.19
1991-10-01,101.07
1992-01-01,102.27
1992-04-01,102.13
1992-07-01,102.99
1992-10-01,103.8
1993-01-01,103.84
1993-04-01,104.87
1993-07-01,105.67
1993-10-01,106.67
1994-01-01,107.64
1994-04-01,108.52
1994-07-01,109.17
1994-10-01,109.73
1995-01-01,110.38
1995-04-01,111.04
1995-07-01,112.07
1995-10-01,112.71
1996-01-01,113.7
1996-04-01,114.45
1996-07-01,115.17
1996-10-01,115.83
1997-01-01,116.57
1997-04-01,117.52
1997-07-01,118.36
1997-10-01,119.65
1998-01-01,121.14
1998-04-01,122.82
1998-07-01,124.42
1998-10-01,126.45
1999-01-01,128.3
1999-04-01,130.21
1999-07-01,132.22
1999-10-01,134.2
2000-01-01,136.57
2000-04-01,138.86
2000-07-01,141.05
2000-10-01,143.5
2001-01-01,146.15
2001-04-01,148.52
2001-07-01,150.78
2001-10-01,153.15
2002-01-01,155.68
2002-04-01,158.55
2002-07-01,161.58
2002-10-01,164.82
2003-01-01,167.73
2003-04-01,170.42
2003-07-01,173.78
2003-10-01,177.7
2004-01-01,181.66
2004-04-01,186.24
2004-07-01,191.03
2004-10-01,195.77
2005-01-01,200.61
2005-04-01,205.92
2005-07-01,211.35
2005-10-01,215.81
2006-01-01,219.0
2006-04-01,220.53
2006-07-01,220.87
2006-10-01,221.91
2007-01-01,223.25
2007-04-01,222.67
2007-07-01,219.84
2007-10-01,215.83
2008-01-01,210.84
2008-04-01,204.95
2008-07-01,199.77
2008-10-01,193.94
2009-01-01,192.76
2009-04-01,190.07
2009-07-01,189.14
2009-10-01,189.04
2010-01-01,187.3
2010-04-01,186.4
2010-07-01,183.29
2010-10-01,181.49
2011-01-01,177.49
2011-04-01,175.98
2011-07-01,176.5
2011-10-01,176.85
2012-01-01,177.61
2012-04-01,180.43
2012-07-01,182.66
2012-10-01,185.4
2013-01-01,189.21
2013-04-01,193.02
2013-07-01,196.05
2013-10-01,198.0
2014-01-01,200.4
2014-04-01,202.19
2014-07-01,204.39
2014-10-01,207.05
2015-01-01,209.9
2015-04-01,212.56
2015-07-01,215.19
2015-10-01,218.26
2016-01-01,221.0
2016-04-01,224.18
2016-07-01,227.55
2016-10-01,231.1
2017-01-01,234.11
2017-04-01,238.16
2017-07-01,241.82
2017-10-01,245.44
2018-01-01,250.04
2018-04-01,253.03
2018-07-01,256.33
2018-10-01,259.2
2019-01-01,262.27
2019-04-01,265.42
2019-07-01,268.91
2019-10-01,273.44
2020-01-01,278.7
2020-04-01,280.48
2020-07-01,291.04
2020-10-01,304.05
2021-01-01,315.0
2021-04-01,329.5
2021-07-01,344.8
2021-10-01,358.23
2022-01-01,374.19
2022-04-01,387.3
2022-07-01,387.35
2022-10-01,388.29
2023-01-01,390.2
